,상권_구분_코드_명,상권_코드_명,분기당_매출_금액,분기당_매출_건수
332,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
333,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
334,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
335,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
336,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
337,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
338,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
339,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
340,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
341,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
342,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
343,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
344,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
345,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
346,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
347,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
348,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
349,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
350,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
351,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
352,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
353,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
354,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
355,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
356,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
357,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
358,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
359,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
360,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
361,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
362,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
363,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
364,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
365,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
366,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
367,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
368,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
369,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
370,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
371,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
372,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
373,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
374,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
375,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
376,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
377,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
378,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
379,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
380,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
381,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
382,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
383,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
384,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
385,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
386,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
387,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
388,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
