,cluster,총_상주인구_수,상권_구분_코드_명,상권_코드_명,총_생활인구_수,총_직장_인구_수,점포_수,아파트_단지_수,집객시설_수,교통시설_수,학교_수,분기당_매출_금액,분기당_매출_건수
1195,3,0.0,발달상권,영등포,0.0,0.0007345225603357,0.0,0.0,0.0118043844856661,0.0192307692307692,0.0,0.0,0.0
1196,3,0.0,발달상권,영등포,0.0,0.0055613850996852,0.0,0.0,0.1112984822934232,0.0961538461538461,0.0,0.0,0.0
1197,3,0.0,발달상권,영등포,0.0,0.0011542497376705,0.0,0.0,0.026981450252951,0.0384615384615384,0.0909090909090909,0.0,0.0
1198,3,0.0,발달상권,영등포,0.0,0.0143470380616235,0.0,0.0,0.0168634064080944,0.0192307692307692,0.0,0.0,0.0
1199,3,0.0,발달상권,왕십리,0.0,7.631403224267862e-05,0.0,0.0,0.0050590219224283,0.0,0.0,0.0,0.0
1200,3,0.0,발달상권,왕십리,0.0,0.002222646189068,0.0,0.0,0.0438448566610455,0.0,0.0,0.0,0.0
1218,3,0.0,발달상권,청담,0.0,0.0050462653820471,0.0,0.0,0.0016863406408094,0.0,0.0,0.0,0.0
1219,3,0.0,발달상권,청담,0.0,0.0122960984451015,0.0,0.0,0.0337268128161888,0.0192307692307692,0.0,0.0,0.0
1220,3,0.0,발달상권,청담,0.0,0.0131260135457407,0.0,0.0,0.0387858347386172,0.0192307692307692,0.0,0.0,0.0
1221,3,0.0,발달상권,청담,0.0,0.03874844987122,0.0,0.0,0.0370994940978077,0.0961538461538461,0.0,0.0,0.0
1222,3,0.0,발달상권,청담,0.0,0.0395115901936468,0.0,0.0,0.0370994940978077,0.0384615384615384,0.0,0.0,0.0
1241,3,0.0,전통시장,남대문시장,0.0,0.0780883334923209,0.0,0.0,0.118043844856661,0.1346153846153846,0.0,0.0,0.0
1251,3,0.0,전통시장,동대문,0.0,0.0125822760660116,0.0,0.0,0.0252951096121416,0.0192307692307692,0.0,0.0,0.0
1278,3,0.0,전통시장,수유,0.0,0.0001907850806066,0.0,0.0,0.0016863406408094,0.0,0.0,0.0,0.0
1279,3,0.0,전통시장,수유,0.0,0.0022035676810073,0.0,0.0,0.0320404721753794,0.0192307692307692,0.0,0.0,0.0
1280,3,0.0,전통시장,수유,0.0,0.0001240103023943,0.0,0.0,0.0016863406408094,0.0,0.0,0.0,0.0
1281,3,0.0,전통시장,신노량진시장,0.0,0.0001049317943336,0.0,0.0,0.0050590219224283,0.0192307692307692,0.0,0.0,0.0
1295,3,0.0,전통시장,영등포,0.0,0.0002194028426977,0.0,0.0,0.0033726812816188,0.0,0.0,0.0,0.0
1298,3,0.0,전통시장,이태원,0.0,1.9078508060669652e-05,0.0,0.0,0.0016863406408094,0.0192307692307692,0.0,0.0,0.0
1307,3,0.0,전통시장,천호,0.0,0.0003338738910617,0.0,0.0,0.0168634064080944,0.0384615384615384,0.0,0.0,0.0
1314,3,0.0,전통시장,화곡,0.0,0.0007154440522751,0.0,0.0,0.0286677908937605,0.0192307692307692,0.0,0.0,0.0
1315,3,0.0,골목상권,사당,0.0,0.0,0.0,0.0,0.0118043844856661,0.0961538461538461,0.0,0.0,0.0
1323,3,0.0957411905066257,발달상권,동대문,0.0,0.03020127826004,0.0,0.0190577024880889,0.0657672849915683,0.0769230769230769,0.0,0.2353146705787533,0.1976341493946272
1326,3,0.0008884059823597,발달상권,서울시청,0.0,0.0883048745588095,0.0,0.0,0.1163575042158516,0.1153846153846153,0.0,0.0872879240064137,0.090711112829264
1329,3,0.2315011291490902,발달상권,양재역,0.0,0.0086234856434226,0.0,0.0954208575966119,0.1112984822934232,0.0769230769230769,0.0909090909090909,0.2373924529321377,0.1447710315729015
